PI,Year,Rep,gddto25
PI 613046,2014,1,1548.8
PI 613046,2014,2,1548.8
PI 613046,2014,3,1529.5
PI 613046,2015,1,1521.5
PI 613046,2015,2,1562.8
PI 613046,2015,3,1537.8
PI 613046,2015,4,1535.3
PI 613047,2013,1,1578.6
PI 613047,2013,2,1600.4
PI 613047,2013,3,1552.4
PI 613047,2013,4,1588.4
PI 613047,2014,1,1588.6
PI 613047,2014,2,1594.7
PI 613047,2014,4,1588.6
PI 613047,2015,1,1562.8
PI 613047,2015,2,1548
PI 613047,2015,3,1537.8
PI 613047,2015,4,1578.2
PI 613048,2013,1,1600.4
PI 613048,2013,2,1634.6
PI 613048,2013,3,1660.3
PI 613048,2013,4,1600.4
PI 613048,2014,1,1603.9
PI 613048,2014,2,1599.4
PI 613048,2014,3,1588.6
PI 613048,2015,2,1624.6
PI 613048,2015,3,1593.7
PI 613048,2015,4,1624.6
PI 613049,2013,1,1600.4
PI 613049,2013,2,1600.4
PI 613049,2013,3,1600.4
PI 613049,2013,4,1600.4
PI 613049,2014,1,1599.4
PI 613049,2014,2,1588.6
PI 613049,2015,1,1604
PI 613049,2015,2,1604
PI 613049,2015,3,1613.1
PI 613049,2015,4,1624.6
PI 655006,2013,1,1696.3
PI 655006,2013,2,1696.3
PI 655006,2013,3,1712
PI 655006,2013,4,1634.6
PI 655006,2014,1,1613
PI 655006,2014,3,1588.6
PI 655006,2015,1,1604
PI 655006,2015,2,1624.6
PI 655006,2015,3,1624.6
PI 655006,2015,4,1624.6
PI 655007,2013,2,1634.6
PI 655007,2013,3,1833.7
PI 655007,2013,4,1559
PI 655007,2014,1,1548.8
PI 655007,2014,2,1548.8
PI 655007,2014,3,1607.8
PI 655007,2015,1,1562.8
PI 655007,2015,2,1562.8
PI 655007,2015,3,1562.8
PI 655007,2015,4,1543.5
PI 663850,2013,1,1480.5
PI 663850,2013,2,1480.5
PI 663850,2013,3,1546.9
PI 663850,2013,4,1559
PI 663850,2014,1,1499
PI 663850,2014,2,1588.6
PI 663850,2014,3,1594.7
PI 663850,2014,4,1548.8
PI 663850,2015,1,1480.3
PI 663850,2015,2,1526.8
PI 663850,2015,3,1541.2
PI 663850,2015,4,1515.6
PI 418900,2013,3,2090
PI 418901,2014,2,1945.5
PI 418901,2014,3,1945.5
PI 418901,2014,4,1945.5
PI 655007,2013,1,2090
